Rejet,evaluateur,Date publication,Article,Ds-ai,Ds-graph,Ds-logic,Ds-metric,Ds-automaton,Ds-prof,Ds-matching,Ds-other,Lg-dependant,Lg-independant,At-static,At-dynamic,At-hybrid,Vm-benchmark,Vm-casestudy,Vm-experiment,Vm-survey,Vm-other,Vm-none,Dl-exec,Dl-source,Dl-model,Pt-creationnal,Pt-structural,Pt-behaviour,Pt-other,Dg-specific,Dp-generic,Commentaires
,Alex,2015,6,,x,x,,,,,,,X,,x,X,,X,,,,,,,X,,X,X,,,X,
,Alex,2013,30,x,,,x,,,,,x (frontend),,,x,,,x,,,,,,x,,,x,x,,,x,
,Alex,2013,40,,,x,,,,,,,x,,,x,,,,,,x,,,x,,,,x,,x,
,Alex,2013,50,,,x,,,,,,x (java frontend),,,x,,,x,,,,,,x,,,x,x,,,x,
,Alex,2013,52,,x,,,,x,,,x (java),,x,,,,,,,,x,x,,,,x,x,,,x,
introuvable,Alex,2013,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alex,2012,69,,,,,,x,,x,x (bytecode),,x,x,,,x,,,,,,x,,x,,x,,,x,
,Alex,2012,80,,,x,,,x,,,x (frontend),,x,x,,,,,,,x,x,x,,,,x,,x,,
,Alex,2012,103,,,,,,,,x,x (Abstract algorithm explaination. Java for test only),,,x,,,x,,,,,,x,,,x,x,,,x,
introuvable,Alex,2011,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
not DDP,Alex,2011,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alex,2011,151,,,,,,x,,,"x (Java implementation, but mostly general to oo languages)",,x,x,,,x,,,,,,x,,,,x,,,x,
not DDP,Alex,2011,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alex,2010,158,,x,,,,,,,x (ne parle pas de language dans l'algo),,,x,,,x,,,,,,x,,x,x,x,,,x,
,Alex,2010,159,,,x,,,x,,,X (java),,x,x,x,,x,,,,,x,x,x,,,x,,,x,
not DDP,Alex,2010,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technique d'analyse des algo de DDP,Alex,2010,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-pages,Alex,2010,197,,,x,,,x,,,x (java et matlab),,x,x,,,x,,,,,x,x,,,,x,,,x,
not DDP,Alex,2009,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alex,2009,228,,,x,,,,,,,x (UML),,,x,,x,,,,,,,x,x,x,x,,,x,
????,Alex,2008,237,,,,,,,,(manual annotation),x (annotation),,,x,,,,,,,x,,x,,,,,x,,x,
,Alex,2008,248,,,,,,x,,x,x java,,x,x,,,x,,,,,,x,,x,x,x,,,x,
,Alex,2008,256,,,,,,x,,,x (implementation for c++ but general),,x,x,,,x,,,,,,x,,x,x,x,,,x,
,Alex,2008,258,x,,,,,,,,,x (Not really specified but test on Java),,x,,,x,,,,,,x,,,,,x,,x,
Benchmark,Alex,2008,262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alex,2006,307,,x,,,,,x,,,x (PADL gère le parsing des différent languages,,,x,,x,,,,,,,x,x,x,,,,x,
,Alex,2006,314,,,,,x,x,,,,x (Doesn't talk about language at all. Seems to be Java though),x,x,x,,x,,,,,,x,,,,x,,x,,
introuvable,Alex,2005,334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-pages,Alex,2005,337,,,,,,,,X,,,,x,,,,,,,x,,x,,x,x,x,,x,,
,Alex,2005,339,x,,,,,,,,,,,x,,,x,,,,,,x,,,x,x,,,x,
2-pages,Alex,2005,348,,,x,,,,,,x (frontend),,,x,,,,,,,x,,x,,,,,x,,x,
,Alex,2005,355,,,,x,,,,,,x,,,x,,,,,,x,,,x,,,,x (Composed patterns),x,,
Article nv : L'artile présente une étude comparant les résultat des differents outils de DPD ,Badr,2015,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Article nv : L'artile présente une étude comparant les résultat des differents outils de DPD 
,Badr,2014,12,,,,X(semantic_coverage,,,,"X(XML
document retrieval technique/Some filtering approach/Patter decomposition)",X(Java),,,X,,,X,,,,,,X,,,X,,,,X,
,Badr,2013,37,,,X(specific and generic pattern transformations of a Prolog query),,,,,,X(Java),,X,,,,X,X,,,,,,X,X,,,,X(Singleton),,
Article nv : l'article présente un outil pour élimination des faux positives,Badr,2012,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Article nv : l'article présente un outil pour élimination des faux positives
Article nv : l'article présente un outil qui fait une comparaison entre different DPD tools,Badr,2012,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Article nv : l'article présente un outil qui fait une comparaison entre different DPD tools
,Badr,2012,96,,,X(SWI-Prolog modules),,,,,,X(Java),,X,,,,X,,,,,,X,,X,X,X,,,X,
,Badr,2011,113,X,,,,,,,X(measurements of metrics),X(Java),,X,,,,X,,,,,,X,,,,,X,X(Singleton; TemplateMethod; Adapter; State;Strategy),,
Article introuvable,Badr,2011,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Article introuvable
Article nv : L'article présente une solution pour la comparison; fusion; visualisation; et la validation des résultats des differents DPD tools,Badr,2011,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Article nv : L'article présente une solution pour la comparison; fusion; visualisation;
et la validation des résultats des differents DPD tools"
Article a 3 pages,Badr,2010,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Article a 3 pages
