0 ou 1,"Authors	Title	Year	Source title	Volume	Issue	Art. No.	Page start	Page end	Page count	Cited by	DOI	Link	Affiliations	Authors with affiliations	Abstract	Author Keywords	Document Type	Source	EID",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Yan, J., Huang, J.	Partly functional temporal process regression with semiparametric profile estimating functions	2009	Biometrics	65	2		431	440			10.1111/j.1541-0420.2008.01071.x	http://www.scopus.com/inward/record.url?eid=2-s2.0-66949115929&partnerID=40&md5=e44a8fb4032ea3d8d719a6934dc19402	""Department of Statistics", University of Connecticut, Unit 4120, 215 Glenbrook Road, Storrs, CT 06269, United States; Department of Statistics and Actuarial Science, Department of Biostatistics, University of Iowa, Iowa City, IA 52242," United States""	""Yan", J., Department of Statistics, University of Connecticut, Unit 4120, 215 Glenbrook Road, Storrs, CT 06269, United States; Huang, J., Department of Statistics and Actuarial Science, Department of Biostatistics, University of Iowa, Iowa City, IA 52242," United States""	""Marginal mean models of temporal processes in event time data analysis are gaining more attention for their milder assumptions than the traditional intensity models. Recent work on fully functional temporal process regression (TPR) offers great flexibility by allowing all the regression coefficients to be nonparametrically time varying. The existing estimation procedure", however, prevents successive goodness-of-fit test for covariate coefficients in comparing a sequence of nested models. This article proposes a partly functional TPR model in the line of marginal mean models. Some covariate effects are time independent while others are completely unspecified in time. This class of models is very rich, including the fully functional model and the semiparametric model as special cases. To estimate the parameters, we propose semiparametric profile estimating equations, which are solved via an iterative algorithm, starting at a consistent estimate from a fully functional model in the existing work. No smoothing is needed, in contrast to other varying-coefficient methods. The weak convergence of the resultant estimators are developed using the empirical process theory. Successive tests of time-varying effects and backward model selection procedure can then be carried out. The practical usefulness of the methodology is demonstrated through a simulation study and a real example of recurrent exacerbation among cystic fibrosis patients. Â© 2008," The International Biometric Society.""	Cystic fibrosis; Generalized linear model; Recurrent event; Semiparametric method; Varying coefficient	Article	Scopus	2-s2.0-66949115929",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Scharstein, D., Briggs, A.J.	Real-time recognition of self-similar landmarks	2001	Image and Vision Computing	19	11		763	772		38	10.1016/S0262-8856(00)00105-0	http://www.scopus.com/inward/record.url?eid=2-s2.0-0035448938&partnerID=40&md5=88a0e3c3432ba1bc651348da819125fc	""Department of Mathematics and Computer Science", Middlebury College, Middlebury, VT 05753," United States""	""Scharstein", D., Department of Mathematics and Computer Science, Middlebury College, Middlebury, VT 05753, United States; Briggs, A.J., Department of Mathematics and Computer Science, Middlebury College, Middlebury, VT 05753," United States""	Mobile robot localization and navigation require robust and efficient methods for utilizing perceptual information. In this paper we propose a design for simple visual landmarks that can be unobtrusively added to an environment for navigation without a global geometric map of the workspace. We describe self-similar intensity patterns together with an efficient and reliable algorithm for their detection in real-time that can handle a wide range of affine transformations. An implementation of the method is available at www.middlebury.edu/~schar/landmark. Â© 2001 Elsevier Science B.V. All rights reserved.	Artificial landmarks; Landmark design; Pattern recognition; Real-time detection; Sensor-based navigation; Vision-based mobile robotics	Article	Scopus	2-s2.0-0035448938",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Bokka, V., Nakano, K., Olariu, S., Schwing, J.L., Wilson, L.	""Optimal algorithms for the multiple query problem on reconfigurable meshes"," with applications""	2001	IEEE Transactions on Parallel and Distributed Systems	12	9		875	887		3	10.1109/71.954618	http://www.scopus.com/inward/record.url?eid=2-s2.0-0035438935&partnerID=40&md5=a19ce4e4ca6c1ceaff69e47990b51eae	""IEEE Computer Society", United States; IEEE; Department of Computer Science, Old Dominion University, Norfolk, VA 23529, United States; School of Information Science, Japan Advanced Institute of Science and Technology, Tatsunokuchi, Ishikawa 923-1292, Japan; Department of Computer Science, Central Washington University, Ellensburg, WA 98926," United States""	""Bokka", V., IEEE Computer Society, United States, Department of Computer Science, Old Dominion University, Norfolk, VA 23529, United States; Nakano, K., IEEE Computer Society, United States, School of Information Science, Japan Advanced Institute of Science and Technology, Tatsunokuchi, Ishikawa 923-1292, Japan; Olariu, S., IEEE Computer Society, United States, Department of Computer Science, Old Dominion University, Norfolk, VA 23529, United States; Schwing, J.L., IEEE, Department of Computer Science, Central Washington University, Ellensburg, WA 98926, United States; Wilson, L., IEEE Computer Society, United States, Department of Computer Science, Old Dominion University, Norfolk, VA 23529," United States""	""The main contribution of this work is to show that a number of fundamental and seemingly unrelated problems in database design", pattern recognition, robotics, computational geometry, and image processing can be solved simply and elegantly by stating them as instances of a unifying algorithmic framework that we call the Multiple Query problem. The Multiple Query problem (MQ, for short) is a 5-tuple (Q, A, D, Ï†, â_•), where Q is a set of queries, A is a set of items, D is a set of solutions, Ï†: Q Ã— A â†’ D is a function, and â_• is a commutative and associative binary operator over D. The input to the MQ problem consists of a sequence Q = ã€ˆq 1, q 2,..., q mã€‰ of m queries from Q and of a sequence A = ã€ˆa 1, a 2,... a nã€‰ of n items from A. The goal is to compute, for every query q i (1 â‰_ i â‰_ m) its solution defined as Ï†(q i, A) = Ï†(q i,a 1) â_• Ï†(q i, a 2) â_•...â_• Ï†(q i, a n). We begin by discussing a generic algorithm that solves a large class of MQ problems in O(âˆ_m + f(n)) time on a reconfigurable mesh of size âˆ_n Ã— âˆ_n, where f(n) is the time necessary to compute the expression d 1 â_• d 2 â_•...â_• d n with d i âˆˆ D on such a platform. We then go on to show that the MQ framework affords us an optimal algorithm for the multiple point location problem on a reconfigurable mesh of size âˆ_n Ã— âˆ_n. Given a set A of n points and a set Q of m (m â‰_ n) points in the plane, our algorithm reports, in O(âˆ_m + log log n) time, all points of Q that lie inside the convex hull of A. Quite surprisingly, our algorithm solves the multiple point location problem without computing the convex hull of A which, in itself, takes Î©(âˆ_n) time on a reconfigurable mesh of size âˆ_n Ã— âˆ_n. Finally, we prove an Î©(âˆ_m + g(n)) time lower bound for nontrivial MQ problems, where g(n) is the lower bound for evaluating the expression d 1 â_• d 2 â_•...â_• d n with d i âˆˆ D," on a reconfigurable mesh of size âˆ_n Ã— âˆ_n.""	Computational geometry; Database design; Image processing; Morphology; Parallel algorithms; Pattern recognition; Query processing; Reconfigurable mesh; Robotics	Article	Scopus	2-s2.0-0035438935",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Zhou, Z., Huang, Q.-A., Li, W., Zhu, C., Xu, D.	Coupled fabrication process simulation and mechanical performance analysis of microstructures based on cellular automata	2006	Proceedings of IEEE Sensors			4178803	1061	1064		1	10.1109/ICSENS.2007.355808	http://www.scopus.com/inward/record.url?eid=2-s2.0-50149088851&partnerID=40&md5=d02c37a0bd21e1019f129c0c1dbb8886	""Key Laboratory of MEMS", Ministry of Education, Southeast University, Nanjing 210096," China""	""Zhou", Z., Key Laboratory of MEMS, Ministry of Education, Southeast University, Nanjing 210096, China; Huang, Q.-A., Key Laboratory of MEMS, Ministry of Education, Southeast University, Nanjing 210096, China; Li, W., Key Laboratory of MEMS, Ministry of Education, Southeast University, Nanjing 210096, China; Zhu, C., Key Laboratory of MEMS, Ministry of Education, Southeast University, Nanjing 210096, China; Xu, D., Key Laboratory of MEMS, Ministry of Education, Southeast University, Nanjing 210096," China""	""This paper", for the first time, presents the accurate results of coupled fabrication process simulation and mechanical performance analysis of microstructures using cellular automata (CA) method. According to the process sequences and process parameters," the microstructures are accurately generated using the CA method. The mechanical performance of the microstructures obtained is then analyzed using CA method with the material properties definition. Thus the fabrication process simulation and mechanical performance analysis of microstructures are seamlessly linked based on the CA method. The comparison of results from mechanical performance analysis using the CA method and ANSYS demonstrates that the effects of exact fabrication process can be efficiently expressed. Â© 2006 IEEE.""		Conference Paper	Scopus	2-s2.0-50149088851",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wale, N., Karypis, G., Watson, I.A.	Method for effective virtual screening and scaffold-hopping in chemical compounds.	2007	Computational systems bioinformatics / Life Sciences Society. Computational Systems Bioinformatics Conference	6			403	414		1		http://www.scopus.com/inward/record.url?eid=2-s2.0-38449122880&partnerID=40&md5=335e3e094c03379d89ae0618f98eac51	""Department of Computer Science", University of Minnesota, Twin Cities," USA.""	""Wale", N., Department of Computer Science, University of Minnesota, Twin Cities, USA.; Karypis, G., Department of Computer Science, University of Minnesota, Twin Cities, USA.; Watson, I.A., Department of Computer Science, University of Minnesota, Twin Cities," USA.""	""Methods that can screen large databases to retrieve a structurally diverse set of compounds with desirable bioactivity properties are critical in the drug discovery and development process. This paper presents a set of such methods"," which are designed to find compounds that are structurally different to a certain query compound while retaining its bioactivity properties (scaffold hops). These methods utilize various indirect ways of measuring the similarity between the query and a compound that take into account additional information beyond their structure-based similarities. Two sets of techniques are presented that capture these indirect similarities using approaches based on automatic relevance feedback and on analyzing the similarity network formed by the query and the database compounds. Experimental evaluation shows that many of these methods substantially outperform previously developed approaches both in terms of their ability to identify structurally diverse active compounds as well as active compounds in general.""		Article	Scopus	2-s2.0-38449122880",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Phoa, F.K.H.	The Stepwise Response Refinement Screener (SRRS) and its applications to analysis of factorial experiments	2012	ICPRAM 2012 - Proceedings of the 1st International Conference on Pattern Recognition Applications and Methods	1			157	161		1		http://www.scopus.com/inward/record.url?eid=2-s2.0-84862231143&partnerID=40&md5=f40cf28f35d128c51862ed2e938247a5	""Institute of Statistical Science", Academia Sinica, 128 Academia Rd. Nangang Dist., Taipei 115," Taiwan""	""Phoa", F.K.H., Institute of Statistical Science, Academia Sinica, 128 Academia Rd. Nangang Dist., Taipei 115," Taiwan""	""Two-level supersaturated designs are very useful in the screening experiments and the common goal is to identify sparse but dominant active factors with low cost. Recently", a new analysis procedure called the Stepwise Response Refinement Screener (SRRS) method is proposed to screen important effects. This paper extends this method to the two-level nonregular fractional factorial designs. The applications to several real-life examples suggest that the SRRS method is able to retrieve similar results as the existing methods do. Simulation studies show that compared to existing methods in the literature," the SRRS method performs well in terms of the true model identification rate and the average model size.""	Modified Akaike information criterion; Nonregular fractional factorial design; Screening experiment; Stepwise Response Refinement Screener (SRRS); Supersaturated design	Conference Paper	Scopus	2-s2.0-84862231143",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Yen, C.-W., Young, C.-N., Nagurka, M.L.	A vector quantization method for nearest neighbor classifier design	2004	Pattern Recognition Letters	25	6		725	731		11	10.1016/j.patrec.2004.01.012	http://www.scopus.com/inward/record.url?eid=2-s2.0-1842787628&partnerID=40&md5=8f451907cf3f64188254822749045842	""Department of Mechanical Engineering", National Sun-Yat Sen University, Kaohsiung 80024, Taiwan; Dept. of Mech./Indust.Eng., Marquette University, Milwaukee, WI 53201-1881," United States""	""Yen", C.-W., Department of Mechanical Engineering, National Sun-Yat Sen University, Kaohsiung 80024, Taiwan; Young, C.-N., Department of Mechanical Engineering, National Sun-Yat Sen University, Kaohsiung 80024, Taiwan; Nagurka, M.L., Dept. of Mech./Indust.Eng., Marquette University, Milwaukee, WI 53201-1881," United States""	""This paper proposes a nearest neighbor classifier design method based on vector quantization (VQ). By investigating the error distribution pattern of the training set"," the VQ technique is applied to generate prototypes incrementally until the desired classification result is reached. Experimental results demonstrate the effectiveness of the method. Â© 2004 Elsevier B.V. All rights reserved.""	Classification; Nearest neighbor classifier; Supervised learning; Vector quantization	Article	Scopus	2-s2.0-1842787628",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"PolÃ¡Å¡ek, I., LÃ_Å¡ka, P., Kelemen, J., Lang, J.	On extended similarity scoring and bit-vector algorithms for design smell detection	2012	""INES 2012 - IEEE 16th International Conference on Intelligent Engineering Systems"," Proceedings""			6249814	115	120		1	10.1109/INES.2012.6249814	http://www.scopus.com/inward/record.url?eid=2-s2.0-84866692279&partnerID=40&md5=c8d111f93f6dd00420bf84655f7d5ded	""Faculty of Informatics and Information Technology", Slovak University of Technology in Bratislava, IlkoviÄçova 3, 842 16 Bratislava, Slovakia; Institute of Informatics and IT4I Center of Excellence, Silesian University, Bezruc Sq. 13, 746 01 Opava, Czech Republic; School of Management, Panonska str. 17, 851 04 Bratislava," Slovakia""	""PolÃ¡Å¡ek", I., Faculty of Informatics and Information Technology, Slovak University of Technology in Bratislava, IlkoviÄçova 3, 842 16 Bratislava, Slovakia; LÃ_Å¡ka, P., Faculty of Informatics and Information Technology, Slovak University of Technology in Bratislava, IlkoviÄçova 3, 842 16 Bratislava, Slovakia; Kelemen, J., Institute of Informatics and IT4I Center of Excellence, Silesian University, Bezruc Sq. 13, 746 01 Opava, Czech Republic, School of Management, Panonska str. 17, 851 04 Bratislava, Slovakia; Lang, J., Faculty of Informatics and Information Technology, Slovak University of Technology in Bratislava, IlkoviÄçova 3, 842 16 Bratislava," Slovakia""	""The occurrence of design smells or anti-patterns in software models complicate development process and reduce the software quality. The contribution proposes an extension to Similarity Scoring Algorithm and Bit-vector Algorithm", originally used for design patterns detection. This paper summarizes both original approaches, important differences between design patterns and anti-patterns structures," modifications and extensions of algorithms and their application to detect selected design smells. Â© 2012 IEEE.""	anti-pattern; bit-vector algorithm; design smell; refactoring; similarity scoring	Conference Paper	Scopus	2-s2.0-84866692279",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Czibula, I.G., Å_erban, G.	Hierarchical clustering based design patterns identification	2008	""International Journal of Computers"," Communications and Control""	3	SPL. ISS.		248	252		5		http://www.scopus.com/inward/record.url?eid=2-s2.0-77951179376&partnerID=40&md5=1c45e4578699d29d3283dbe564e37919	""BabeÅ_-Bolyai University", Department of Computer Science 1, M. KogÇ_lniceanu Street,400084, Cluj-Napoca," Romania""	""Czibula", I.G., BabeÅ_-Bolyai University, Department of Computer Science 1, M. KogÇ_lniceanu Street,400084, Cluj-Napoca, Romania; Å_erban, G., BabeÅ_-Bolyai University, Department of Computer Science 1, M. KogÇ_lniceanu Street,400084, Cluj-Napoca," Romania""	""Design patterns have attracted significant attention in software engineering in the last period. An important reason behind this is that design patterns are potentially useful in both development of new", and comprehension of existing object-oriented design," especially for large legacy systems without sufficient documentation. That is why the problem of design patterns identification is very important. Automating the detection of design pattern instances could be of significant help to the process of reverse engineering large software systems. In this paper we aim at introducing a search based approach for identifying instances of design patterns in a software system. An experimental evaluation of our approach is also provided.Â©2006-2008 by CCC Publications - Agora University Ed. House.""	Clustering; Design patterns; Searching	Article	Scopus	2-s2.0-77951179376",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Pande, A., Gupta, M., Tripathi, A.K.	A new approach for detecting design patterns by graph decomposition and graph isomorphism	2010	Communications in Computer and Information Science	95 CCIS	PART 2		108	119		5	10.1007/978-3-642-14825-5_10	http://www.scopus.com/inward/record.url?eid=2-s2.0-77957007353&partnerID=40&md5=88b89cfce1e3094169c6a312173a1202	""DST", Centre for Interdisciplinary Mathematical Sciences, Banaras Hindu University, Varanasi 221005," India""	""Pande", A., DST, Centre for Interdisciplinary Mathematical Sciences, Banaras Hindu University, Varanasi 221005, India; Gupta, M., DST, Centre for Interdisciplinary Mathematical Sciences, Banaras Hindu University, Varanasi 221005, India; Tripathi, A.K., DST, Centre for Interdisciplinary Mathematical Sciences, Banaras Hindu University, Varanasi 221005," India""	Design Pattern Detection is a part of many solutions to Software Engineering difficulties. It is a part of reengineering process and thus gives important information to the designer. Design Pattern existence improve the program understanding and software maintenance. With the help of these patterns specific design problem can be solved and object oriented design become more flexible and reusable. Hence a reliable design pattern mining is required. Here we are applying graph decomposition followed by graph isomorphism technique for design pattern detection. Â© 2010 Springer-Verlag Berlin Heidelberg.	adjacency matrix; design pattern; graph decomposition; graph isomorphism; UML	Conference Paper	Scopus	2-s2.0-77957007353",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
